A281082;https://apamo.org/adopt/adoptable-pets/?petID=A281082;Female;MAHI MAHI;Mahi Mahi is such a cutie! She loves to sit in your lap for kisses, but she's working on her...;Terrier;Mixed Breed;True;2023-07-12T18:00:57+0000;2023-07-12T18:01:14+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/65398519/1/?bust=1721049664&width=300
A264710;https://apamo.org/adopt/adoptable-pets/?petID=A264710;Male;TOBIAS;Tobias is a total lap dog! He currently lives with kids and other dogs in his foster home. He enjoys...;Pit Bull Terrier;;False;2023-12-06T21:52:31+0000;2023-12-06T21:52:33+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69938857/1/?bust=1721049696&width=300
A292291;https://apamo.org/adopt/adoptable-pets/?petID=A292291;Female;QUEENY;Meet Queeny! This little lady is shy at first but is so sweet after she opens up! She's great on...;Pit Bull Terrier;;False;2023-12-19T20:55:57+0000;2023-12-19T20:56:02+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70093970/1/?bust=1721048310&width=300
A292474;https://apamo.org/adopt/adoptable-pets/?petID=A292474;Male;BISCUIT;Biscuit is a dashing gentleman who is treat-motivated, smart, and sweet. He has done well with children and other dogs....;Pit Bull Terrier;Mixed Breed;True;2024-01-03T00:56:52+0000;2024-01-03T00:56:58+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70226002/1/?bust=1721049834&width=300
A292390;https://apamo.org/adopt/adoptable-pets/?petID=A292390;Female;SOURDOUGH;Sourdough's friendly demeanor makes her a great companion. Her goofy antics will keep you entertained, while her independent spirit ensures...;Boxer;Mixed Breed;True;2024-01-05T00:36:30+0000;2024-01-05T00:36:36+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70251129/1/?bust=1721047942&width=300
A292685;https://apamo.org/adopt/adoptable-pets/?petID=A292685;Male;OZZY;Ozzy is sweet, mild-mannered dog who walks well on a leash. He would love to explore a shady trail with...;Pit Bull Terrier;Mixed Breed;True;2024-01-08T19:51:41+0000;2024-01-08T19:51:48+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70290612/1/?bust=1721049844&width=300
A291908;https://apamo.org/adopt/adoptable-pets/?petID=A291908;Female;JOY;Joy is in foster, but before that she was living in our shelter. Here in the shelter she has played...;Pit Bull Terrier;Mixed Breed;True;2024-01-10T22:01:25+0000;2024-01-10T22:01:31+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70319852/1/?bust=1721047963&width=300
A290215;https://apamo.org/adopt/adoptable-pets/?petID=A290215;Male;MILO;Milo is a friendly, big boy searching for a new family. He has been around other dogs, so he wouldn't...;Pit Bull Terrier;Mixed Breed;True;2024-01-26T19:28:42+0000;2024-01-26T19:28:47+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70511211/1/?bust=1721049686&width=300
A294320;https://apamo.org/adopt/adoptable-pets/?petID=A294320;Male;MICKEY;Mickey loves to play but also enjoys napping near you. He has done well with other dogs in the shelter...;Pit Bull Terrier;;False;2024-02-27T07:24:21+0000;2024-02-27T07:24:27+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70861870/1/?bust=1721049854&width=300
A293379;https://apamo.org/adopt/adoptable-pets/?petID=A293379;Male;JAX;Jax is a sweet man. He has done well with other dogs in the shelter. Seems to be housetrained outside...;Pit Bull Terrier;Mixed Breed;True;2024-02-29T22:56:31+0000;2024-02-29T22:56:35+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/70896324/1/?bust=1721049675&width=300
